,Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
195,Fabian Frei,MF,Switzerland,33-344,Basel,2,0,0,16.0,14.0
398,Luka Modrić,MF,Croatia,37-100,Real Madrid,7,6,0,615.0,551.0
595,Sorba Thomas,MF,Wales,23-118,Huddersfield,1,0,0,6.0,4.0
483,Niclas Füllkrug,FW,Germany,29-312,Werder Bremen,3,8,2,38.0,24.0
402,Majid Hosseini,DF,IR Iran,26-181,Kayserispor,3,0,0,137.0,106.0
482,Neymar,MF,Brazil,30-316,Paris S-G,3,11,2,203.0,153.0
616,Thiago Silva,DF,Brazil,38-087,Chelsea,4,2,0,368.0,344.0
569,Salis Abdul Samed,MF,Ghana,22-267,Lens,3,1,0,169.0,145.0
194,Exequiel Palacios,MF,Argentina,24-074,Leverkusen,3,1,0,34.0,28.0
433,Mattéo Guendouzi,FW,France,23-248,Marseille,1,0,0,36.0,33.0
67,Antony,FW,Brazil,22-297,Manchester Utd,4,6,0,145.0,109.0
25,Aleksandar Mitrović,FW,Serbia,28-093,Fulham,3,10,2,95.0,69.0
41,Alireza Jahanbakhsh,MF,IR Iran,29-129,Feyenoord,2,3,0,27.0,17.0
246,Hattan Bahebri,MF,Saudi Arabia,30-155,Al-Shabab,2,0,0,7.0,7.0
115,Casemiro,MF,Brazil,30-298,Manchester Utd,4,9,1,302.0,251.0
118,Charly Rodríguez,MF,Mexico,25-349,Cruz Azul,2,0,0,36.0,30.0
40,Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,2,0,0,34.0,31.0
461,Mohammed Waad,MF,Qatar,23-091,Al Sadd SC,2,0,0,16.0,12.0
255,Hossein Hosseini,GK,IR Iran,30-171,Esteghlal,2,0,0,49.0,47.0
573,Sami Al-Najei,MF,Saudi Arabia,25-314,Al-Nassr,1,0,0,25.0,21.0
52,Andrej Kramarić,FW,Croatia,31-182,Hoffenheim,7,10,2,215.0,176.0
262,Héctor Moreno,DF,Mexico,34-335,Monterrey,3,1,0,210.0,195.0
490,Nicolás De La Cruz,MF,Uruguay,25-200,River Plate,2,1,0,28.0,25.0
463,Montassar Talbi,DF,Tunisia,24-206,Lorient,3,1,0,177.0,137.0
412,Mario Pašalić,FW,Croatia,27-312,Atalanta,7,3,0,132.0,95.0
258,Hwang Hee-chan,MF,Korea Republic,26-326,Wolves,2,6,1,84.0,59.0
375,Kye Rowles,DF,Australia,24-177,Hearts,4,0,0,231.0,187.0
300,Joe Rodon,DF,Wales,25-057,Rennes,3,0,0,192.0,169.0
69,Ao Tanaka,MF,Japan,24-099,Düsseldorf,3,1,1,84.0,69.0
609,Takuma Asano,FW,Japan,28-038,Bochum,4,8,1,49.0,28.0
56,André Onana,GK,Cameroon,26-260,Inter,1,0,0,60.0,59.0
229,Gonçalo Ramos,FW,Portugal,21-181,Benfica,4,7,3,55.0,31.0
607,Takefusa Kubo,FW,Japan,21-197,Real Sociedad,2,0,0,23.0,11.0
15,Achraf Hakimi,DF,Morocco,24-044,Paris S-G,7,4,0,478.0,382.0
383,Lee Jae-sung,MF,Korea Republic,30-130,Mainz 05,3,1,0,116.0,97.0
154,David Raum,DF,Germany,24-240,RB Leipzig,3,0,0,229.0,195.0
570,Salman Al-Faraj,MF,Saudi Arabia,33-139,Al-Hilal,1,0,0,19.0,16.0
48,Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,Napoli,3,1,0,159.0,130.0
495,Nikola Vlašić,FW,Croatia,25-075,Torino,6,5,0,80.0,55.0
455,Mohamed Dräger,DF,Tunisia,26-176,Luzern,2,4,0,70.0,50.0
358,Kieffer Moore,FW,Wales,30-132,Bournemouth,3,6,0,95.0,56.0
539,Ricardo Rodríguez,DF,Switzerland,30-115,Torino,4,0,0,247.0,229.0
555,Romario Ibarra,MF,Ecuador,28-085,Pachuca,2,2,0,23.0,14.0
183,Ellyes Skhiri,MF,Tunisia,27-222,Köln,3,2,0,161.0,127.0
140,Daley Blind,DF,Netherlands,32-284,Ajax,5,5,1,339.0,300.0
429,Matt Turner,GK,United States,28-177,Arsenal,4,0,0,137.0,128.0
309,Jordan Morris,FW,United States,28-053,Seattle,2,0,0,5.0,4.0
80,Ayase Ueda,FW,Japan,24-099,Cercle Brugge,1,0,0,23.0,12.0
642,Walker Zimmerman,DF,United States,29-213,Nashville,4,1,0,274.0,244.0
661,Youri Tielemans,MF,Belgium,25-225,Leicester City,3,0,0,77.0,64.0
663,Youssef Msakni,MF,Tunisia,32-051,Al-Arabi SC,2,9,0,95.0,69.0
349,Keanu Baccus,MF,Australia,24-194,St Mirren,4,1,0,59.0,41.0
54,Andrija Živković,DF,Serbia,26-160,PAOK,3,1,0,118.0,96.0
128,Christopher Wooh,DF,Cameroon,21-091,Rennes,1,1,0,45.0,31.0
510,Pape Abou Cissé,DF,Senegal,27-095,Olympiacos,3,0,0,49.0,37.0
109,Bukayo Saka,FW,England,21-104,Arsenal,4,7,3,147.0,108.0
263,Ibrahima Konaté,DF,France,23-207,Liverpool,5,2,0,283.0,236.0
110,Callum Wilson,FW,England,30-294,Newcastle Utd,2,0,0,16.0,10.0
5,Abdessamad Ezzalzouli,FW,Morocco,21-001,Osasuna,3,1,0,40.0,13.0
49,Andreas Christensen,DF,Denmark,26-252,Barcelona,3,2,1,280.0,251.0
225,Giorgian De Arrascaeta,MF,Uruguay,28-200,Flamengo,2,3,2,69.0,52.0
